ID_INSTITUTO,NOMBRE,DIRECCION,CODPOSTAL,ID_PAQUETE
276,Costa Oeste,"C/ Mar de Groenlandia, s/n",11500,3
277,Camposoto,"C/ González de la Torre, s/n",11100,1
278,Zaframagón,"Avda. Manuel de Falla, s/n",11690,2
279,Ntra. Sra. de los Remedios,"Avda. Herrera Oria, s/n",11600,3
280,Las Cumbres,"C/ Las Cumbres, s/n. Apdo. 38",11600,1
281,Al-Ándalus,"C/ La Vid, 7",11130,2
282,Maestro Manuel Aparcero,"Avda. Granada, 3",11550,3
283,Tartessos,"Pago Valdetoro, s/n",11406,1
284,Antonio Machado,"Avda. San Joaquín, s/n",11407,2
285,Manuel de Falla,"C/ Ntra. Sra. de Montserrat, s/n. Bda. Asunción",11406,3
286,Andalucía,"C/ Sevilla, 1. Bda. El Junquillo",11300,1
287,El Rocío,"C/ Rocío, s/n. Bda. El Junquillo",11300,2
288,Montecalpe,"C/ Carpa, s/n. Urb. San García",11207,3
289,Puerto Blanco,"C/ Goleta, s/n. Urbanización San García",11207,1
290,Profesor Juan Carlos Aragón,"C/ Barbate, s/n. Bda. La Paz",11012,2
291,Asta Regia,"Avda. Moreno Mendoza, 4",11408,3
292,Pinar Hondo,"Avda. de la Libertad, 17",11500,1
293,Santiago,"C/ Jardines, 43",11300,2
294,Gibraltar,"C/ Gibraltar, 108",11300,3
295,Gadir,"Avda. de la Bahía, 27",11012,1
296,El Trocadero,"C/ La Caña, 9",11510,2
297,Arroyo Hondo,"C/ Maestro Manuel J. Casal Egea, 2",11520,3
298,Castillo de Matrera,"C/ Sevilla, 16",11650,1
299,La Unión,"C/ Antonio Machado, s/n. Bda. La Unión",11407,2
300,Pablo Ruiz Picasso,"Avda. de la Diputación, s/n",11130,3
301,San Ramón Nonato,"Avda. Doña Rosa García López-Cepero, s/n",11370,1
302,Carlos Castilla del Pino,"Avda. Castiella, 5",11360,2
303,El Castillo,C/ El Castillo s/n.,11130,3
304,Maestro Juan Apresa,"Avda. Constitución, 1",11630,1
305,Arquitecto Leoz,"C/ Algodonales, s/n",11510,2
306,Fernando Gavilán,"Avda. Herrera Oria, s/n",11600,3
307,Blas Infante,"C/ Parque Doñana, 1",11406,1
308,Tierra y Libertad,"C/ Tierra y Libertad, 10",11510,2
309,Sancti Petri,"Polígo La Magdalena, s/n",11100,3
310,Ciudad de Jerez,"C/ Mandarina, s/n. Bda.Pago San José",11406,1
311,La Alcazaba,"C/ Almería, s/n. Bda. La Granja",11405,2
312,Riofrío,"C/ Infante D. Juan Manuel, s/n",11630,3
313,Saladillo,"C/ Duque de Rivas, s/n",11207,1
314,José M. Caballero Bonald,"C/ Ntra. Sra. del Traspaso, s/n",11406,2
315,Andrés Benítez,"C/ Doctor Fléming, s/n. Polígono de San Benito",11407,3
316,Casa de la Virgen,"C/ Almadraba, 4",11379,1
317,Elvira Lindo,"C/ Vejer, s/n",11510,2
318,La Constitución,"Avda. La Constitución de 1978, s/n",11100,3
319,Los Arcos,"Cañ. Los Tomates, 1. Bda. El Cobre",11206,1
320,Campoameno,"Plaza Modesto Gómez, 8",11630,2
321,Profesor Tierno Galván,"Callej de la Pedrera Blanca, s/n",11130,3
322,La Gaviota,"C/ Rafael Alberti, s/n",11500,1
323,Montealegre,"C/ Mallorca, s/n",11406,2
324,Puente Zuazo,"C/ Gonzalo de Córdoba, 4",11100,3
325,Campo de Gibraltar,"Avda. de la Caña, 24 y 26",11203,1
326,Campiña de Tarifa,"C/ Real, s/n",11392,2
327,Príncipe Felipe,"C/ Grazalema, 2",11550,3
328,El Mayorazgo,"Avda. Mayorazgo, s/n",11130,1
329,Nuestra Señora de Lourdes,"C/ Nueva de Puntales, 1",11011,2
330,Las Nieves,"C/ Barquisimeto, 2",11500,3
331,Maestro Apolinar,"C/ Cayo Antonio Prieto, s/n",11360,1
332,Las Dunas,"C/ Aitana, s/n",11500,2
333,La Dehesilla,"C/ Lentisco, s/n",11540,3
